username,full_text,Label,cleaned_text,casefolding_text,norm_text,token_text,swremove_text,stem_text,Sentimen,mention,hashtag
nafmi_naula,@AlisyaRenata12 Masyarakat Sragen mendukung sepenuhnya sportivitas dan fair play dalam setiap pertandingan di PON Aceh-Sumut. #PONKita2024,1,Masyarakat Sragen mendukung sepenuhnya sportivitas dan fair play dalam setiap pertandingan di PON Aceh Sumut,masyarakat sragen mendukung sepenuhnya sportivitas dan fair play dalam setiap pertandingan di pon aceh sumut,masyarakat sragen mendukung sepenuhnya sportivitas dan fair play dalam setiap pertandingan di pon aceh sumut,"['masyarakat', 'sragen', 'mendukung', 'sepenuhnya', 'sportivitas', 'dan', 'fair', 'play', 'dalam', 'setiap', 'pertandingan', 'di', 'pon', 'aceh', 'sumut']","['masyarakat', 'sragen', 'mendukung', 'sepenuhnya', 'sportivitas', 'fair', 'play', 'setiap', 'pertandingan', 'pon', 'aceh', 'sumut']",masyarakat sragen dukung sepenuh sportivitas fair play tiap tanding pon aceh sumut,Positif,['@AlisyaRenata12'],['#PONKita2024']
irfan_snjyaa,@WellsWg6 Manado siap sukseskan PON Aceh &amp; Sumut jadi momen kebersamaan nasional #PONKita2024,1,Manado siap sukseskan PON Aceh Sumut jadi momen kebersamaan nasional,manado siap sukseskan pon aceh sumut jadi momen kebersamaan nasional,manado siap sukseskan pon aceh sumut jadi momen kebersamaan nasional,"['manado', 'siap', 'sukseskan', 'pon', 'aceh', 'sumut', 'jadi', 'momen', 'kebersamaan', 'nasional']","['manado', 'siap', 'sukseskan', 'pon', 'aceh', 'sumut', 'jadi', 'momen', 'kebersamaan', 'nasional']",manado siap sukses pon aceh sumut jadi momen sama nasional,Positif,['@WellsWg6'],['#PONKita2024']
korankontras,@imwintmr Menpora RI Dito Ariotedjo beri apresiasi tinggi kepada panitia PON di Aceh dan Sumut atas kinerja cemerlang mereka #PONKita2024,1,Menpora RI Dito Ariotedjo beri apresiasi tinggi kepada panitia PON di Aceh dan Sumut atas kinerja cemerlang mereka,menpora ri dito ariotedjo beri apresiasi tinggi kepada panitia pon di aceh dan sumut atas kinerja cemerlang mereka,menpora ri dito ariotedjo beri apresiasi tinggi kepada panitia pon di aceh dan sumut atas kinerja cemerlang mereka,"['menpora', 'ri', 'dito', 'ariotedjo', 'beri', 'apresiasi', 'tinggi', 'kepada', 'panitia', 'pon', 'di', 'aceh', 'dan', 'sumut', 'atas', 'kinerja', 'cemerlang', 'mereka']","['menpora', 'ri', 'dito', 'ariotedjo', 'beri', 'apresiasi', 'tinggi', 'panitia', 'pon', 'aceh', 'sumut', 'atas', 'kinerja', 'cemerlang']",menpora ri dito ariotedjo beri apresiasi tinggi panitia pon aceh sumut atas kerja cemerlang,Positif,['@imwintmr'],['#PONKita2024']
nurul_wahyuni12,Logo Pekan Olahraga Nasional (PON) sejak Tahun 2000 PON Jawa Timur sampai Tahun 2024 PON Aceh-Sumut. Selanjutnya Tahun 2028 Provinsi NTB-NTT yang akan menjadi tuan rumahnya. https://t.co/p4xY4zj1XF,0,Logo Pekan Olahraga Nasional PON sejak Tahun PON Jawa Timur sampai Tahun PON Aceh Sumut Selanjutnya Tahun Provinsi NTB NTT yang akan menjadi tuan rumahnya,logo pekan olahraga nasional pon sejak tahun pon jawa timur sampai tahun pon aceh sumut selanjutnya tahun provinsi ntb ntt yang akan menjadi tuan rumahnya,logo pekan olahraga nasional pon sejak tahun pon jawa timur sampai tahun pon aceh sumut selanjutnya tahun provinsi ntb ntt yang akan menjadi tuan rumahnya,"['logo', 'pekan', 'olahraga', 'nasional', 'pon', 'sejak', 'tahun', 'pon', 'jawa', 'timur', 'sampai', 'tahun', 'pon', 'aceh', 'sumut', 'selanjutnya', 'tahun', 'provinsi', 'ntb', 'ntt', 'yang', 'akan', 'menjadi', 'tuan', 'rumahnya']","['logo', 'pekan', 'olahraga', 'nasional', 'pon', 'sejak', 'tahun', 'pon', 'jawa', 'timur', 'tahun', 'pon', 'aceh', 'sumut', 'selanjutnya', 'tahun', 'provinsi', 'ntb', 'ntt', 'akan', 'menjadi', 'tuan', 'rumahnya']",logo pekan olahraga nasional pon sejak tahun pon jawa timur tahun pon aceh sumut lanjut tahun provinsi ntb ntt akan jadi tuan rumah,Netral,[],[]
MySangkrangman,@imwintmr Mari sukseskan PON XXI dan tunjukkan bahwa Aceh dan Sumut bisa jadi tuan rumah terbaik! #PONKita2024,1,Mari sukseskan PON XXI dan tunjukkan bahwa Aceh dan Sumut bisa jadi tuan rumah terbaik,mari sukseskan pon xxi dan tunjukkan bahwa aceh dan sumut bisa jadi tuan rumah terbaik,mari sukseskan pon xxi dan tunjukkan bahwa aceh dan sumut bisa jadi tuan rumah terbaik,"['mari', 'sukseskan', 'pon', 'xxi', 'dan', 'tunjukkan', 'bahwa', 'aceh', 'dan', 'sumut', 'bisa', 'jadi', 'tuan', 'rumah', 'terbaik']","['sukseskan', 'pon', 'xxi', 'tunjukkan', 'aceh', 'sumut', 'jadi', 'tuan', 'rumah', 'terbaik']",sukses pon xxi tunjuk aceh sumut jadi tuan rumah baik,Positif,['@imwintmr'],['#PONKita2024']
humaira_karimah,@Nina_Esterlinz Pemain FPS Samarinda memberikan dukungan kuat kepada para atlet eSport agar sukses di PON Aceh-Sumut. #PONKita2024,1,Pemain FPS Samarinda memberikan dukungan kuat kepada para atlet eSport agar sukses di PON Aceh Sumut,pemain fps samarinda memberikan dukungan kuat kepada para atlet esport agar sukses di pon aceh sumut,pemain fps samarinda memberikan dukungan kuat kepada para atlet esport agar sukses di pon aceh sumut,"['pemain', 'fps', 'samarinda', 'memberikan', 'dukungan', 'kuat', 'kepada', 'para', 'atlet', 'esport', 'agar', 'sukses', 'di', 'pon', 'aceh', 'sumut']","['pemain', 'fps', 'samarinda', 'memberikan', 'dukungan', 'kuat', 'para', 'atlet', 'esport', 'sukses', 'pon', 'aceh', 'sumut']",main fps samarinda beri dukung kuat para atlet esport sukses pon aceh sumut,Positif,['@Nina_Esterlinz'],['#PONKita2024']
tio_royhan,Gila ya pon aceh sumut damage nya bener bener dah,-1,Gila ya pon aceh sumut damage nya bener bener dah,gila ya pon aceh sumut damage nya bener bener dah,gila ya pon aceh sumut damage nya bener bener sudah,"['gila', 'ya', 'pon', 'aceh', 'sumut', 'damage', 'nya', 'bener', 'bener', 'sudah']","['gila', 'pon', 'aceh', 'sumut', 'damage', 'nya', 'bener', 'bener']",gila pon aceh sumut damage nya bener bener,Negatif,[],[]
zahra_al3,@KoalisiNetizen Medan siap sambut dan sukseskan PON Aceh &amp; Sumut semangat pantang menyerah #PONKita2024,1,Medan siap sambut dan sukseskan PON Aceh Sumut semangat pantang menyerah,medan siap sambut dan sukseskan pon aceh sumut semangat pantang menyerah,medan siap sambut dan sukseskan pon aceh sumut semangat pantang menyerah,"['medan', 'siap', 'sambut', 'dan', 'sukseskan', 'pon', 'aceh', 'sumut', 'semangat', 'pantang', 'menyerah']","['medan', 'siap', 'sambut', 'sukseskan', 'pon', 'aceh', 'sumut', 'semangat', 'pantang', 'menyerah']",medan siap sambut sukses pon aceh sumut semangat pantang serah,Positif,['@KoalisiNetizen'],['#PONKita2024']
gebay_ebiona,Kaltim kawinkan gold medal Putra Putri di cabor hoki pada PON Sumut - Aceh 2024!!!,1,Kaltim kawinkan gold medal Putra Putri di cabor hoki pada PON Sumut Aceh,kaltim kawinkan gold medal putra putri di cabor hoki pada pon sumut aceh,kaltim kawinkan gold medal putra putri di cabor hoki pada pon sumut aceh,"['kaltim', 'kawinkan', 'gold', 'medal', 'putra', 'putri', 'di', 'cabor', 'hoki', 'pada', 'pon', 'sumut', 'aceh']","['kaltim', 'kawinkan', 'gold', 'medal', 'putra', 'putri', 'cabor', 'hoki', 'pon', 'sumut', 'aceh']",kaltim kawin gold medal putra putri cabor hoki pon sumut aceh,Positif,[],[]
kilah_kaisa22,Coba tanya PB PON aceh sumut,0,Coba tanya PB PON aceh sumut,coba tanya pb pon aceh sumut,coba tanya pb pon aceh sumut,"['coba', 'tanya', 'pb', 'pon', 'aceh', 'sumut']","['coba', 'tanya', 'pb', 'pon', 'aceh', 'sumut']",coba tanya pb pon aceh sumut,Netral,[],[]
nila_krsnawta,@ArkaZarani Pujian khusus dari Menpora RI untuk panitia PON di Aceh dan Sumut yang telah mengelola tantangan dengan baik #PONKita2024,1,Pujian khusus dari Menpora RI untuk panitia PON di Aceh dan Sumut yang telah mengelola tantangan dengan baik,pujian khusus dari menpora ri untuk panitia pon di aceh dan sumut yang telah mengelola tantangan dengan baik,pujian khusus dari menpora ri untuk panitia pon di aceh dan sumut yang telah mengelola tantangan dengan baik,"['pujian', 'khusus', 'dari', 'menpora', 'ri', 'untuk', 'panitia', 'pon', 'di', 'aceh', 'dan', 'sumut', 'yang', 'telah', 'mengelola', 'tantangan', 'dengan', 'baik']","['pujian', 'khusus', 'menpora', 'ri', 'panitia', 'pon', 'aceh', 'sumut', 'telah', 'mengelola', 'tantangan', 'baik']",puji khusus menpora ri panitia pon aceh sumut telah kelola tantang baik,Positif,['@ArkaZarani'],['#PONKita2024']
hanavirus,@archoHQ_ @Ir_wansyahputra @MafiaWasit Yg ga siap ya pemerintah anggaran pon baru cair juli....masih hebat aceh dan sumut sebenarnya dalam waktu 2 bulan udah bisa bikin venue jadi walau ga 100% selesai,-1,Yg ga siap ya pemerintah anggaran pon baru cair juli masih hebat aceh dan sumut sebenarnya dalam waktu bulan udah bisa bikin venue jadi walau ga selesai,yg ga siap ya pemerintah anggaran pon baru cair juli masih hebat aceh dan sumut sebenarnya dalam waktu bulan udah bisa bikin venue jadi walau ga selesai,yang tidak siap ya pemerintah anggaran pon baru cair juli masih hebat aceh dan sumut sebenarnya dalam waktu bulan sudah bisa membuat venue jadi walau tidak selesai,"['yang', 'tidak', 'siap', 'ya', 'pemerintah', 'anggaran', 'pon', 'baru', 'cair', 'juli', 'masih', 'hebat', 'aceh', 'dan', 'sumut', 'sebenarnya', 'dalam', 'waktu', 'bulan', 'sudah', 'bisa', 'membuat', 'venue', 'jadi', 'walau', 'tidak', 'selesai']","['tidak', 'siap', 'pemerintah', 'anggaran', 'pon', 'baru', 'cair', 'juli', 'hebat', 'aceh', 'sumut', 'sebenarnya', 'waktu', 'bulan', 'bisa', 'membuat', 'venue', 'jadi', 'tidak', 'selesai']",tidak siap perintah anggar pon baru cair juli hebat aceh sumut benar waktu bulan bisa buat venue jadi tidak selesai,Negatif,"['@archoHQ_', '@Ir_wansyahputra', '@MafiaWasit']",[]
hendra_ram57508,Proses pencairan honor LO VO dan WF Tahap I PON XXI Aceh-Sumut sedang berlangsung! Berdasarkan absensi dari koordinator tim keuangan kini bekerja keras memastikan semuanya tepat sasaran. #PONXXIAcehSumut #HonorLOVOWF #SemangatPON2024 https://t.co/KvPlMXAzpx,-1,Proses pencairan honor LO VO dan WF Tahap I PON XXI Aceh Sumut sedang berlangsung Berdasarkan absensi dari koordinator tim keuangan kini bekerja keras memastikan semuanya tepat sasaran,proses pencairan honor lo vo dan wf tahap i pon xxi aceh sumut sedang berlangsung berdasarkan absensi dari koordinator tim keuangan kini bekerja keras memastikan semuanya tepat sasaran,proses pencairan honor lo vo dan wf tahap i pon xxi aceh sumut sedang berlangsung berdasarkan absensi dari koordinator tim keuangan kini bekerja keras memastikan semuanya tepat sasaran,"['proses', 'pencairan', 'honor', 'lo', 'vo', 'dan', 'wf', 'tahap', 'i', 'pon', 'xxi', 'aceh', 'sumut', 'sedang', 'berlangsung', 'berdasarkan', 'absensi', 'dari', 'koordinator', 'tim', 'keuangan', 'kini', 'bekerja', 'keras', 'memastikan', 'semuanya', 'tepat', 'sasaran']","['proses', 'pencairan', 'honor', 'lo', 'vo', 'wf', 'tahap', 'i', 'pon', 'xxi', 'aceh', 'sumut', 'sedang', 'berlangsung', 'berdasarkan', 'absensi', 'koordinator', 'tim', 'keuangan', 'kini', 'bekerja', 'keras', 'memastikan', 'semuanya', 'tepat', 'sasaran']",proses cair honor lo vo wf tahap pon xxi aceh sumut sedang langsung dasar absensi koordinator tim uang kini kerja keras pasti semua tepat sasar,Negatif,[],"['#PONXXIAcehSumut', '#HonorLOVOWF', '#SemangatPON2024']"
ranti_anjani6,Presiden Jokowi Akan Tutup PON Aceh-Sumut di Stadion Utama Sport Center Sumut Jumat 20 September,0,Presiden Jokowi Akan Tutup PON Aceh Sumut di Stadion Utama Sport Center Sumut Jumat September,presiden jokowi akan tutup pon aceh sumut di stadion utama sport center sumut jumat september,presiden jokowi akan tutup pon aceh sumut di stadion utama sport center sumut jumat september,"['presiden', 'jokowi', 'akan', 'tutup', 'pon', 'aceh', 'sumut', 'di', 'stadion', 'utama', 'sport', 'center', 'sumut', 'jumat', 'september']","['presiden', 'jokowi', 'tutup', 'pon', 'aceh', 'sumut', 'stadion', 'utama', 'sport', 'center', 'sumut', 'jumat', 'september']",presiden jokowi tutup pon aceh sumut stadion utama sport center sumut jumat september,Netral,[],[]
kokondaa,Peraih medali PON XXI Aceh-Sumut 2024 cabor Voli Indoor Putra Jawa Barat Jawa Tengah DKI Jakarta Setidaknya Jabar masih bisa pulang dengan kepala tegak karena mampu mempertahankan medali Emas untuk sektor Putra @volleyballidn #PONAcehSumut2024 #PONXXIAcehSumut2024 https://t.co/xgbpke7yls,1,Peraih medali PON XXI Aceh Sumut cabor Voli Indoor Putra Jawa Barat Jawa Tengah DKI Jakarta Setidaknya Jabar masih bisa pulang dengan kepala tegak karena mampu mempertahankan medali Emas untuk sektor Putra,peraih medali pon xxi aceh sumut cabor voli indoor putra jawa barat jawa tengah dki jakarta setidaknya jabar masih bisa pulang dengan kepala tegak karena mampu mempertahankan medali emas untuk sektor putra,peraih medali pon xxi aceh sumut cabor voli indoor putra jawa barat jawa tengah dki jakarta setidaknya jabar masih bisa pulang dengan kepala tegak karena mampu mempertahankan medali emas untuk sektor putra,"['peraih', 'medali', 'pon', 'xxi', 'aceh', 'sumut', 'cabor', 'voli', 'indoor', 'putra', 'jawa', 'barat', 'jawa', 'tengah', 'dki', 'jakarta', 'setidaknya', 'jabar', 'masih', 'bisa', 'pulang', 'dengan', 'kepala', 'tegak', 'karena', 'mampu', 'mempertahankan', 'medali', 'emas', 'untuk', 'sektor', 'putra']","['peraih', 'medali', 'pon', 'xxi', 'aceh', 'sumut', 'cabor', 'voli', 'indoor', 'putra', 'jawa', 'barat', 'jawa', 'tengah', 'dki', 'jakarta', 'jabar', 'bisa', 'pulang', 'kepala', 'tegak', 'mampu', 'mempertahankan', 'medali', 'emas', 'sektor', 'putra']",raih medali pon xxi aceh sumut cabor voli indoor putra jawa barat jawa tengah dki jakarta jabar bisa pulang kepala tegak mampu tahan medali emas sektor putra,Positif,['@volleyballidn'],"['#PONAcehSumut2024', '#PONXXIAcehSumut2024']"
disdikacehprov,@RayyaKasya Pertarungan di eSPORT PON Aceh-Sumut 2024 akan membawa ketegangan dan antusiasme penonton ke level yang lebih tinggi. #PONKita2024,1,Pertarungan di eSPORT PON Aceh Sumut akan membawa ketegangan dan antusiasme penonton ke level yang lebih tinggi,pertarungan di esport pon aceh sumut akan membawa ketegangan dan antusiasme penonton ke level yang lebih tinggi,pertarungan di esport pon aceh sumut akan membawa ketegangan dan antusiasme penonton ke level yang lebih tinggi,"['pertarungan', 'di', 'esport', 'pon', 'aceh', 'sumut', 'akan', 'membawa', 'ketegangan', 'dan', 'antusiasme', 'penonton', 'ke', 'level', 'yang', 'lebih', 'tinggi']","['pertarungan', 'esport', 'pon', 'aceh', 'sumut', 'membawa', 'ketegangan', 'antusiasme', 'penonton', 'level', 'lebih', 'tinggi']",tarung esport pon aceh sumut bawa tegang antusiasme tonton level lebih tinggi,Positif,['@RayyaKasya'],['#PONKita2024']
tempodotco,@RayyaKasya UMKM di sekitar Aceh-Sumut mendapatkan akses pasar yang lebih besar selama PON berlangsung. #PONKita2024,1,UMKM di sekitar Aceh Sumut mendapatkan akses pasar yang lebih besar selama PON berlangsung,umkm di sekitar aceh sumut mendapatkan akses pasar yang lebih besar selama pon berlangsung,umkm di sekitar aceh sumut mendapatkan akses pasar yang lebih besar selama pon berlangsung,"['umkm', 'di', 'sekitar', 'aceh', 'sumut', 'mendapatkan', 'akses', 'pasar', 'yang', 'lebih', 'besar', 'selama', 'pon', 'berlangsung']","['umkm', 'sekitar', 'aceh', 'sumut', 'mendapatkan', 'akses', 'pasar', 'lebih', 'besar', 'selama', 'pon', 'berlangsung']",umkm sekitar aceh sumut dapat akses pasar lebih besar lama pon langsung,Positif,['@RayyaKasya'],['#PONKita2024']
rastiti_hemah,@Decaptivee_ Dito Ariotedjo: Penyelenggaraan PON di Aceh dan Sumut adalah bukti kemajuan olahraga Indonesia #PONKita2024,1,Dito Ariotedjo Penyelenggaraan PON di Aceh dan Sumut adalah bukti kemajuan olahraga Indonesia,dito ariotedjo penyelenggaraan pon di aceh dan sumut adalah bukti kemajuan olahraga indonesia,dito ariotedjo penyelenggaraan pon di aceh dan sumut adalah bukti kemajuan olahraga indonesia,"['dito', 'ariotedjo', 'penyelenggaraan', 'pon', 'di', 'aceh', 'dan', 'sumut', 'adalah', 'bukti', 'kemajuan', 'olahraga', 'indonesia']","['dito', 'ariotedjo', 'penyelenggaraan', 'pon', 'aceh', 'sumut', 'bukti', 'kemajuan', 'olahraga', 'indonesia']",dito ariotedjo selenggara pon aceh sumut bukti maju olahraga indonesia,Positif,['@Decaptivee_'],['#PONKita2024']
alena_nilam21,@JennieAshlann2 Pemain eFootball PES Sragen memberikan semangat kepada para atlet eSport yang bertanding di PON Aceh-Sumut. #PONKita2024,1,Pemain eFootball PES Sragen memberikan semangat kepada para atlet eSport yang bertanding di PON Aceh Sumut,pemain efootball pes sragen memberikan semangat kepada para atlet esport yang bertanding di pon aceh sumut,pemain efootball pes sragen memberikan semangat kepada para atlet esport yang bertanding di pon aceh sumut,"['pemain', 'efootball', 'pes', 'sragen', 'memberikan', 'semangat', 'kepada', 'para', 'atlet', 'esport', 'yang', 'bertanding', 'di', 'pon', 'aceh', 'sumut']","['pemain', 'efootball', 'pes', 'sragen', 'memberikan', 'semangat', 'para', 'atlet', 'esport', 'bertanding', 'pon', 'aceh', 'sumut']",main efootball pes sragen beri semangat para atlet esport tanding pon aceh sumut,Positif,['@JennieAshlann2'],['#PONKita2024']
yuliantiayu01_,@RayyaKasya Dengan pujian dari Menpora RI penyelenggaraan PON di Aceh dan Sumut terbukti sukses dan berdampak positif #PONKita2024,1,Dengan pujian dari Menpora RI penyelenggaraan PON di Aceh dan Sumut terbukti sukses dan berdampak positif,dengan pujian dari menpora ri penyelenggaraan pon di aceh dan sumut terbukti sukses dan berdampak positif,dengan pujian dari menpora ri penyelenggaraan pon di aceh dan sumut terbukti sukses dan berdampak positif,"['dengan', 'pujian', 'dari', 'menpora', 'ri', 'penyelenggaraan', 'pon', 'di', 'aceh', 'dan', 'sumut', 'terbukti', 'sukses', 'dan', 'berdampak', 'positif']","['pujian', 'menpora', 'ri', 'penyelenggaraan', 'pon', 'aceh', 'sumut', 'terbukti', 'sukses', 'berdampak', 'positif']",puji menpora ri selenggara pon aceh sumut bukti sukses dampak positif,Positif,['@RayyaKasya'],['#PONKita2024']
48bolaID,@KotaNusantara Produk-produk UMKM lokal mendapatkan eksposur nasional selama PON Aceh-Sumut berlangsung. #PONKita2024,1,Produk produk UMKM lokal mendapatkan eksposur nasional selama PON Aceh Sumut berlangsung,produk produk umkm lokal mendapatkan eksposur nasional selama pon aceh sumut berlangsung,produk produk umkm lokal mendapatkan eksposur nasional selama pon aceh sumut berlangsung,"['produk', 'produk', 'umkm', 'lokal', 'mendapatkan', 'eksposur', 'nasional', 'selama', 'pon', 'aceh', 'sumut', 'berlangsung']","['produk', 'produk', 'umkm', 'lokal', 'mendapatkan', 'eksposur', 'nasional', 'selama', 'pon', 'aceh', 'sumut', 'berlangsung']",produk produk umkm lokal dapat eksposur nasional lama pon aceh sumut langsung,Positif,['@KotaNusantara'],['#PONKita2024']
calista_xadiya,@Loveyoufrom300 Menpora Dito Ariotedjo: Komitmen panitia PON di Aceh dan Sumut telah menghasilkan acara yang berkesan #PONKita2024,1,Menpora Dito Ariotedjo Komitmen panitia PON di Aceh dan Sumut telah menghasilkan acara yang berkesan,menpora dito ariotedjo komitmen panitia pon di aceh dan sumut telah menghasilkan acara yang berkesan,menpora dito ariotedjo komitmen panitia pon di aceh dan sumut telah menghasilkan acara yang berkesan,"['menpora', 'dito', 'ariotedjo', 'komitmen', 'panitia', 'pon', 'di', 'aceh', 'dan', 'sumut', 'telah', 'menghasilkan', 'acara', 'yang', 'berkesan']","['menpora', 'dito', 'ariotedjo', 'komitmen', 'panitia', 'pon', 'aceh', 'sumut', 'menghasilkan', 'acara', 'berkesan']",menpora dito ariotedjo komitmen panitia pon aceh sumut hasil acara kesan,Positif,['@Loveyoufrom300'],['#PONKita2024']
maruli_bobby,@Laylani_na Dengan semangat tinggi panitia PON di Aceh dan Sumut mendapat pujian dari Menpora RI #PONKita2024,1,Dengan semangat tinggi panitia PON di Aceh dan Sumut mendapat pujian dari Menpora RI,dengan semangat tinggi panitia pon di aceh dan sumut mendapat pujian dari menpora ri,dengan semangat tinggi panitia pon di aceh dan sumut mendapat pujian dari menpora ri,"['dengan', 'semangat', 'tinggi', 'panitia', 'pon', 'di', 'aceh', 'dan', 'sumut', 'mendapat', 'pujian', 'dari', 'menpora', 'ri']","['semangat', 'tinggi', 'panitia', 'pon', 'aceh', 'sumut', 'mendapat', 'pujian', 'menpora', 'ri']",semangat tinggi panitia pon aceh sumut dapat puji menpora ri,Positif,['@Laylani_na'],['#PONKita2024']
mahfud_haryanto,@RayyaKasya Selamat atas pencapaian gemilang di PON Aceh-Sumut #PONKita2024,1,Selamat atas pencapaian gemilang di PON Aceh Sumut,selamat atas pencapaian gemilang di pon aceh sumut,selamat atas pencapaian gemilang di pon aceh sumut,"['selamat', 'atas', 'pencapaian', 'gemilang', 'di', 'pon', 'aceh', 'sumut']","['selamat', 'atas', 'pencapaian', 'gemilang', 'pon', 'aceh', 'sumut']",selamat atas capai gemilang pon aceh sumut,Positif,['@RayyaKasya'],['#PONKita2024']
sari_utami12,@KotaNusantara Warga Kelurahan Gandul mendukung suksesnya PON Aceh&amp;Sumut ayo berprestasi atlet #PONKita2024,1,Warga Kelurahan Gandul mendukung suksesnya PON Aceh Sumut ayo berprestasi atlet,warga kelurahan gandul mendukung suksesnya pon aceh sumut ayo berprestasi atlet,warga kelurahan gandul mendukung suksesnya pon aceh sumut ayo berprestasi atlet,"['warga', 'kelurahan', 'gandul', 'mendukung', 'suksesnya', 'pon', 'aceh', 'sumut', 'ayo', 'berprestasi', 'atlet']","['warga', 'kelurahan', 'gandul', 'mendukung', 'suksesnya', 'pon', 'aceh', 'sumut', 'ayo', 'berprestasi', 'atlet']",warga lurah gandul dukung sukses pon aceh sumut ayo prestasi atlet,Positif,['@KotaNusantara'],['#PONKita2024']
purba_deon,Prajurit Batalyon Infanteri 8 Marinir (Yonif 8 Mar) berhasil meraih medali perak pada kejuaraan Pekan Olahraga Nasional (PON) XXI Aceh-Sumut Cabang Olahraga Jiu Jitsu yang diselenggarakan di Gedung Olahraga (GOR) Martial Art Arena Kab. Deli Serdang Prov. Sumatra Utara.,1,Prajurit Batalyon Infanteri Marinir Yonif Mar berhasil meraih medali perak pada kejuaraan Pekan Olahraga Nasional PON XXI Aceh Sumut Cabang Olahraga Jiu Jitsu yang diselenggarakan di Gedung Olahraga GOR Martial Art Arena Kab Deli Serdang Prov Sumatra Utara,prajurit batalyon infanteri marinir yonif mar berhasil meraih medali perak pada kejuaraan pekan olahraga nasional pon xxi aceh sumut cabang olahraga jiu jitsu yang diselenggarakan di gedung olahraga gor martial art arena kab deli serdang prov sumatra utara,prajurit batalyon infanteri marinir yonif mar berhasil meraih medali perak pada kejuaraan pekan olahraga nasional pon xxi aceh sumut cabang olahraga jiu jitsu yang diselenggarakan di gedung olahraga gor martial art arena kab deli serdang prov sumatra utara,"['prajurit', 'batalyon', 'infanteri', 'marinir', 'yonif', 'mar', 'berhasil', 'meraih', 'medali', 'perak', 'pada', 'kejuaraan', 'pekan', 'olahraga', 'nasional', 'pon', 'xxi', 'aceh', 'sumut', 'cabang', 'olahraga', 'jiu', 'jitsu', 'yang', 'diselenggarakan', 'di', 'gedung', 'olahraga', 'gor', 'martial', 'art', 'arena', 'kab', 'deli', 'serdang', 'prov', 'sumatra', 'utara']","['prajurit', 'batalyon', 'infanteri', 'marinir', 'yonif', 'mar', 'berhasil', 'meraih', 'medali', 'perak', 'kejuaraan', 'pekan', 'olahraga', 'nasional', 'pon', 'xxi', 'aceh', 'sumut', 'cabang', 'olahraga', 'jiu', 'jitsu', 'diselenggarakan', 'gedung', 'olahraga', 'gor', 'martial', 'art', 'arena', 'kab', 'deli', 'serdang', 'prov', 'sumatra', 'utara']",prajurit batalyon infanteri marinir yonif mar hasil raih medali perak juara pekan olahraga nasional pon xxi aceh sumut cabang olahraga jiu jitsu selenggara gedung olahraga gor martial art arena kab deli serdang prov sumatra utara,Positif,[],[]
prima_nasution6,@GenZNusantara Suasana di sekitar stadion PON Aceh&amp;Sumut sangat meriah meski cuaca sedikit berangin. #PONKita2024,1,Suasana di sekitar stadion PON Aceh Sumut sangat meriah meski cuaca sedikit berangin,suasana di sekitar stadion pon aceh sumut sangat meriah meski cuaca sedikit berangin,suasana di sekitar stadion pon aceh sumut sangat meriah meski cuaca sedikit berangin,"['suasana', 'di', 'sekitar', 'stadion', 'pon', 'aceh', 'sumut', 'sangat', 'meriah', 'meski', 'cuaca', 'sedikit', 'berangin']","['suasana', 'sekitar', 'stadion', 'pon', 'aceh', 'sumut', 'sangat', 'meriah', 'meski', 'cuaca', 'sedikit', 'berangin']",suasana sekitar stadion pon aceh sumut sangat riah meski cuaca sedikit angin,Positif,['@GenZNusantara'],['#PONKita2024']
slamet_iruddin,Pelari maraton PON Aceh-Sumut harus bertarung dengan cuaca panas lintasan lari berdebu dan kendaraan lalu-lalang.,1,Pelari maraton PON Aceh Sumut harus bertarung dengan cuaca panas lintasan lari berdebu dan kendaraan lalu lalang,pelari maraton pon aceh sumut harus bertarung dengan cuaca panas lintasan lari berdebu dan kendaraan lalu lalang,pelari maraton pon aceh sumut harus bertarung dengan cuaca panas lintasan lari berdebu dan kendaraan lalu lalang,"['pelari', 'maraton', 'pon', 'aceh', 'sumut', 'harus', 'bertarung', 'dengan', 'cuaca', 'panas', 'lintasan', 'lari', 'berdebu', 'dan', 'kendaraan', 'lalu', 'lalang']","['pelari', 'maraton', 'pon', 'aceh', 'sumut', 'bertarung', 'cuaca', 'panas', 'lintasan', 'lari', 'berdebu', 'kendaraan', 'lalu', 'lalang']",lari maraton pon aceh sumut tarung cuaca panas lintas lari debu kendara lalu lalang,Positif,[],[]
rama_puspita2,@ryuljitn Kesiapan venue PON di Aceh dan Sumut dipuji oleh Menpora Dito Ariotedjo #PONKita2024,1,Kesiapan venue PON di Aceh dan Sumut dipuji oleh Menpora Dito Ariotedjo,kesiapan venue pon di aceh dan sumut dipuji oleh menpora dito ariotedjo,kesiapan venue pon di aceh dan sumut dipuji oleh menpora dito ariotedjo,"['kesiapan', 'venue', 'pon', 'di', 'aceh', 'dan', 'sumut', 'dipuji', 'oleh', 'menpora', 'dito', 'ariotedjo']","['kesiapan', 'venue', 'pon', 'aceh', 'sumut', 'dipuji', 'menpora', 'dito', 'ariotedjo']",kesiap venue pon aceh sumut puji menpora dito ariotedjo,Positif,['@ryuljitn'],['#PONKita2024']
